user_id,first_name,last_name,gender,date_of_birth,phone_number,infected,date_diagnosis
0,John,Morris,male,7/14/86,409.731.1633x778,no,
1,Jim,Johnson,male,5/28/70,104-592-8856,no,
2,Joe,Huggins,male,6/1/76,551-547-4553x106,no,
3,James,Mcevoy,male,4/27/51,001-707-295-6628x33643,no,
4,Franklin,Lloyd,male,10/21/75,001-448-982-2809x315,no,
5,Tommy,Mata,male,5/7/87,-3379,no,
6,Matt,Strong,male,9/14/69,613-510-8096,no,
7,Henry,Finley,male,3/13/11,+1-182-487-7119x570,no,
8,Michael,Penn,male,6/3/86,-6928,no,
9,Tony,Dole,male,7/23/01,576-033-9446x1368,no,
10,Zachery,Lorna,male,12/27/54,001-039-474-6992,no,
11,Gary,Shook,male,8/13/01,-5020,yes,8/13/20
