user_id,first_name,last_name,gender,date_of_birth,phone_number,infected,date_diagnosis
0,John,Morris,male,1986-07-14,409.731.1633x778,no,
1,Jim,Johnson,male,1970-05-28,104-592-8856,no,
2,Joe,Huggins,male,1976-06-01,551-547-4553x106,no,
3,James,Mcevoy,male,1951-04-27,001-707-295-6628x33643,no,
4,Franklin,Lloyd,male,1975-10-21,001-448-982-2809x315,no,
5,Tommy,Mata,male,1987-05-07,+1-666-078-2636,no,
6,Matt,Strong,male,1969-09-14,613-510-8096,no,
7,Henry,Finley,male,2011-03-13,+1-182-487-7119x570,no,
8,Michael,Penn,male,1986-06-03,+1-944-755-5230,no,
9,Tony,Dole,male,2001-07-23,576-033-9446x1368,no,
10,Zachery,Lorna,male,1954-12-27,001-039-474-6992,no,
11,Gary,Shook,male,2001-08-13,+1-823-195-4003,yes,2020-08-13
12,Harry,Cooper,male,1945-06-08,+1-691-263-0594x46344,no,
13,James,Broyles,male,1962-12-20,(350)059-0074x4152,yes,2020-08-14
14,Micheal,Gentry,male,2012-12-28,001-750-464-2703x4330,no,
15,Charles,Cuthbertson,male,2000-02-20,+1-811-890-5596,yes,2020-08-20
16,Jerry,Sage,male,1985-12-11,552-981-2988,no,
17,John,Love,male,1997-07-26,+1-143-719-4896x6294,no,
18,James,Mosier,male,1962-10-16,8270901690,no,
19,Jose,Dotson,male,1994-10-24,002-333-2257x631,no,
20,Brett,Acosta,male,1980-08-21,001-891-694-4518x95829,no,
21,Joseph,Wrye,male,1958-02-22,001-889-124-2571x748,no,
22,Willard,Laplante,male,1991-11-12,001-409-355-6528x27432,no,
23,Ramon,Cole,male,1979-03-23,002-601-8683,no,
24,Angel,Lott,male,2012-08-25,8050355417,no,
25,Jerry,Sauceda,male,2005-02-09,001-621-183-9164x985,no,
26,Gregory,Mosher,male,2017-07-23,(805)924-8957x2119,no,
27,Ramon,Vaughan,male,1984-10-08,(170)685-1904x472,no,
28,Steven,Bridges,male,1998-11-30,972.670.2051x494,no,
29,Aaron,Pelchat,male,1995-07-31,316-536-2857x479,no,
30,Hipolito,Doyle,male,1998-07-03,549-247-5394x072,no,
31,Roy,Robbins,male,1966-07-11,001-093-258-5305,no,
32,Justin,Hirz,male,1946-10-17,221-240-8729x598,no,
33,William,Claypool,male,1955-05-30,370.517.2339x0769,yes,2020-08-04
34,Clifford,Rollins,male,2005-06-18,(663)773-8787,no,
35,Gary,Smith,male,1962-01-24,590-997-7548x1724,no,
36,John,Wall,male,1976-11-14,+1-892-698-5606x5621,no,
37,Robert,Gegenheimer,male,1979-07-22,8109234752,yes,2020-08-20
38,James,Ashley,male,1993-12-08,001-077-586-4648,no,
39,William,Armendariz,male,2015-02-10,143.989.5740x401,no,
40,Michael,Albert,male,1951-11-18,(687)830-8158,no,
41,Salvador,Cromer,male,1947-09-02,+1-463-773-9425,no,
